series_id	state	area	year	period	month	value
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M12	December	28.55
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M11	November	28.45
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M10	October	28.23
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M09	September	27.73
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M08	August	27.10
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M07	July	27.56
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M06	June	27.49
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M05	May	26.72
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M04	April	26.41
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M03	March	26.42
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M02	February	25.98
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2025	M01	January	26.48
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M12	December	27.03
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M11	November	27.02
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M10	October	27.48
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M09	September	27.02
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M08	August	26.51
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M07	July	26.87
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M06	June	26.24
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M05	May	26.46
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M04	April	26.42
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M03	March	26.12
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M02	February	25.95
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2024	M01	January	25.96
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M12	December	25.78
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M11	November	25.92
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M10	October	25.68
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M09	September	25.23
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M08	August	25.24
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M07	July	25.17
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M06	June	25.01
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M05	May	24.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M04	April	25.62
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M03	March	24.49
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M02	February	25.03
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2023	M01	January	25.45
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2022	M12	December	25.01
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2022	M11	November	24.68
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2022	M10	October	23.79
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2022	M09	September	23.51
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2022	M08	August	23.73
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2022	M07	July	23.87
