,state,area,old_year,new_year,old_number,new_number,perc_change
0,Mississippi,"Gulfport-Biloxi, MS",2007,2008,21.7,21.5,-0.009216589861751119
1,Mississippi,"Gulfport-Biloxi, MS",2008,2009,21.5,22.4,0.04186046511627901
2,Mississippi,"Gulfport-Biloxi, MS",2009,2010,22.4,20.5,-0.08482142857142852
3,Mississippi,"Gulfport-Biloxi, MS",2010,2011,20.5,19.1,-0.0682926829268292
4,Mississippi,"Gulfport-Biloxi, MS",2011,2012,19.1,19.0,-0.005235602094240912
5,Mississippi,"Gulfport-Biloxi, MS",2012,2013,19.0,19.8,0.04210526315789478
6,Mississippi,"Gulfport-Biloxi, MS",2013,2014,19.8,20.0,0.010101010101010065
7,Mississippi,"Gulfport-Biloxi, MS",2014,2015,20.0,19.3,-0.03499999999999996
8,Mississippi,"Gulfport-Biloxi, MS",2015,2016,19.3,18.8,-0.025906735751295335
9,Mississippi,"Gulfport-Biloxi, MS",2016,2017,18.8,18.6,-0.010638297872340387
10,Mississippi,"Gulfport-Biloxi, MS",2017,2018,18.6,17.9,-0.037634408602150685
11,Mississippi,"Gulfport-Biloxi, MS",2018,2019,17.9,18.3,0.02234636871508392
12,Mississippi,"Gulfport-Biloxi, MS",2019,2020,18.3,19.0,0.03825136612021854
13,Mississippi,"Gulfport-Biloxi, MS",2020,2021,19.0,19.0,0.0
14,Mississippi,"Gulfport-Biloxi, MS",2021,2022,19.0,18.5,-0.02631578947368421
15,Mississippi,"Gulfport-Biloxi, MS",2022,2023,18.5,19.1,0.03243243243243251
16,Mississippi,"Gulfport-Biloxi, MS",2023,2024,19.1,19.0,-0.005235602094240912
17,Pennsylvania,"Erie, PA",2007,2008,24.0,23.6,-0.016666666666666607
18,Pennsylvania,"Erie, PA",2008,2009,23.6,19.3,-0.1822033898305085
19,Pennsylvania,"Erie, PA",2009,2010,19.3,20.6,0.0673575129533679
20,Pennsylvania,"Erie, PA",2010,2011,20.6,22.1,0.07281553398058252
21,Pennsylvania,"Erie, PA",2011,2012,22.1,22.4,0.013574660633484033
22,Pennsylvania,"Erie, PA",2012,2013,22.4,21.9,-0.022321428571428572
23,Pennsylvania,"Erie, PA",2013,2014,21.9,22.4,0.022831050228310504
24,Pennsylvania,"Erie, PA",2014,2015,22.4,21.5,-0.04017857142857137
25,Pennsylvania,"Erie, PA",2015,2016,21.5,19.5,-0.09302325581395349
26,Pennsylvania,"Erie, PA",2016,2017,19.5,19.3,-0.01025641025641022
27,Pennsylvania,"Erie, PA",2017,2018,19.3,20.1,0.041450777202072575
28,Pennsylvania,"Erie, PA",2018,2019,20.1,19.6,-0.02487562189054726
29,Pennsylvania,"Erie, PA",2019,2020,19.6,18.0,-0.08163265306122455
30,Pennsylvania,"Erie, PA",2020,2021,18.0,18.3,0.016666666666666705
31,Pennsylvania,"Erie, PA",2021,2022,18.3,19.1,0.043715846994535554
32,Pennsylvania,"Erie, PA",2022,2023,19.1,19.2,0.005235602094240726
33,Pennsylvania,"Erie, PA",2023,2024,19.2,19.1,-0.005208333333333223
34,Oregon,"Medford, OR",2007,2008,7.6,6.5,-0.1447368421052631
35,Oregon,"Medford, OR",2008,2009,6.5,6.2,-0.04615384615384613
36,Oregon,"Medford, OR",2009,2010,6.2,6.1,-0.016129032258064602
37,Oregon,"Medford, OR",2010,2011,6.1,6.4,0.049180327868852576
38,Oregon,"Medford, OR",2011,2012,6.4,6.9,0.078125
39,Oregon,"Medford, OR",2012,2013,6.9,7.2,0.04347826086956519
40,Oregon,"Medford, OR",2013,2014,7.2,7.5,0.041666666666666644
41,Oregon,"Medford, OR",2014,2015,7.5,7.6,0.013333333333333286
42,Oregon,"Medford, OR",2015,2016,7.6,7.7,0.013157894736842176
43,Oregon,"Medford, OR",2016,2017,7.7,7.7,0.0
44,Oregon,"Medford, OR",2017,2018,7.7,7.9,0.025974025974025997
45,Oregon,"Medford, OR",2018,2019,7.9,8.0,0.01265822784810122
46,Oregon,"Medford, OR",2019,2020,8.0,7.7,-0.03749999999999998
47,Oregon,"Medford, OR",2020,2021,7.7,7.6,-0.012987012987013056
48,Oregon,"Medford, OR",2021,2022,7.6,7.2,-0.052631578947368356
49,Oregon,"Medford, OR",2022,2023,7.2,7.0,-0.0277777777777778
50,Oregon,"Medford, OR",2023,2024,7.0,6.8,-0.0285714285714286
51,Michigan,"Detroit-Warren-Dearborn, MI",2007,2008,244.3,214.2,-0.12320916905444135
