,state,value
0,Alabama,2047.6
1,Alaska,35.1
2,Arizona,2278.3
3,Arkansas,784.6
4,California,22703.4
5,Colorado,1697.1
6,Connecticut,1766.1
7,Delaware,262.9
8,District of Columbia,776.0
9,Florida,6751.3
10,Georgia,5669.0
11,Hawaii,124.89999999999999
12,Idaho,590.4
13,Illinois,10180.6
14,Indiana,4306.9
15,Iowa,1333.7
16,Kansas,746.5
17,Kentucky,1784.4
18,Louisiana,1190.9
19,Maine,427.9
20,Maryland,1125.7
21,Massachusetts,4576.8
22,Michigan,9183.1
23,Minnesota,2817.1
24,Mississippi,597.3
25,Missouri,2904.0
26,Montana,112.0
27,Nebraska,595.6
28,Nevada,749.8
29,New Hampshire,567.8
30,New Jersey,2246.1
31,New Mexico,250.70000000000002
32,New York,9755.6
33,North Carolina,4385.9
34,North Dakota,227.9
35,Ohio,6221.7
36,Oklahoma,1042.0
37,Oregon,2204.9
38,Pennsylvania,7809.4
39,Puerto Rico,833.2
40,Rhode Island,768.0
41,South Carolina,2074.4
42,South Dakota,219.1
43,Tennessee,3517.3
44,Texas,13422.5
45,Utah,1647.9
46,Vermont,142.0
47,Virginia,1843.8
48,Washington,4697.9
49,West Virginia,286.6
50,Wisconsin,4124.3
51,Wyoming,36.1
