,series_id,state,area,year,period,month,value,per_capita
5760,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M12,December,15800.0,0.005241509169821248
5761,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M11,November,15800.0,0.005241509169821248
5762,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M10,October,15800.0,0.005241509169821248
5763,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M09,September,15800.0,0.005241509169821248
5764,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M08,August,15600.0,0.005175160952481738
5765,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M07,July,15400.0,0.005108812735142229
5766,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M06,June,15600.0,0.005175160952481738
5767,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M05,May,15400.0,0.005108812735142229
5768,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M04,April,15700.0,0.005208335061151493
5769,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M03,March,16200.0,0.005374205604500267
5770,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M02,February,16300.0,0.005407379713170022
5771,SMU05229003000000001,Arkansas,"Fort Smith, AR-OK",2020,M01,January,16200.0,0.005374205604500267
6900,SMU05307803000000001,Arkansas,"Little Rock-North Little Rock-Conway, AR",2020,M12,December,18600.0,0.00617038421257438
6901,SMU05307803000000001,Arkansas,"Little Rock-North Little Rock-Conway, AR",2020,M11,November,18600.0,0.00617038421257438
6902,SMU05307803000000001,Arkansas,"Little Rock-North Little Rock-Conway, AR",2020,M10,October,18600.0,0.00617038421257438
6903,SMU05307803000000001,Arkansas,"Little Rock-North Little Rock-Conway, AR",2020,M09,September,18900.0,0.006269906538583645
6904,SMU05307803000000001,Arkansas,"Little Rock-North Little Rock-Conway, AR",2020,M08,August,18900.0,0.006269906538583645
6905,SMU05307803000000001,Arkansas,"Little Rock-North Little Rock-Conway, AR",2020,M07,July,18800.0,0.00623673242991389
