series_id	state	area	year	period	month	value
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M12	December	46.5
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M11	November	44.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M10	October	44.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M09	September	43.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M08	August	44.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M07	July	45.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M06	June	44.6
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M05	May	44.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M04	April	44.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M03	March	43.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M02	February	43.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2025	M01	January	43.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M12	December	43.6
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M11	November	42.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M10	October	42.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M09	September	42.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M08	August	41.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M07	July	42.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M06	June	41.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M05	May	40.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M04	April	38.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M03	March	39.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M02	February	38.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2024	M01	January	37.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M12	December	37.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M11	November	36.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M10	October	35.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M09	September	36.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M08	August	35.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M07	July	34.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M06	June	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M05	May	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M04	April	34.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M03	March	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M02	February	34.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2023	M01	January	33.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M12	December	31.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M11	November	32.5
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M10	October	32.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M09	September	32.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M08	August	33.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M07	July	35.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2022	M06	June	35.7
