State,2022_Robotics_CE,CE_adjusted
United States,3905000.0,24.96099245673055
Alabama,223500.0,109.15217815979685
Alaska,1927.0,54.900284900284895
Arizona,63170.0,27.72681385243383
Arkansas,44990.0,57.34132041804741
California,228800.0,10.077785706105693
Colorado,42940.0,25.30198574038065
Connecticut,12640.0,7.15701262669158
Delaware,14180.0,53.93685812095855
District of Columbia,168.0,0.21649484536082475
Florida,24160.0,3.578570053174944
Georgia,227300.0,40.09525489504322
Idaho,11890.0,20.13888888888889
Illinois,166200.0,16.325167475394377
Indiana,121800.0,28.28020153706843
Iowa,87650.0,65.71942715753168
Kansas,44220.0,59.23643670462157
Kentucky,76420.0,42.82672046626317
Louisiana,24540.0,20.606264169955494
Maine,22390.0,52.325309651787805
Maryland,12830.0,11.397352758283734
Massachusetts,30390.0,6.640010487676979
Michigan,365000.0,39.74692641918306
Minnesota,80780.0,28.674878421071316
Mississippi,52230.0,87.44349573078856
Missouri,139300.0,47.96831955922865
Montana,4603.0,41.098214285714285
Nebraska,45280.0,76.02417730020147
Nevada,15630.0,20.845558815684182
New Hampshire,15560.0,27.404015498414935
New Jersey,35370.0,15.747295311873916
New Mexico,3455.0,13.781412046270441
New York,130700.0,13.397433269096723
North Carolina,121200.0,27.634008983332954
North Dakota,7157.0,31.404124616059676
Ohio,336400.0,54.068823633412094
Oklahoma,20350.0,19.52975047984645
Oregon,61830.0,28.04208807655676
Pennsylvania,135300.0,17.325274668988655
Rhode Island,1444.0,1.8802083333333333
South Carolina,92070.0,44.3839182414192
South Dakota,8753.0,39.94979461433136
Tennessee,225100.0,63.99795297529354
Texas,207600.0,15.46656733097411
Utah,40020.0,24.28545421445476
Vermont,3025.0,21.302816901408452
Virginia,25170.0,13.65115522290921
Washington,34320.0,7.305391770791205
West Virginia,16800.0,58.61828332170272
Wisconsin,195900.0,47.498969522100715
