Geographic Area Name	"2022 Capital Expenditures for Industrial Robotic Equipment 
($1000)"
United States	3,905,000
Alabama	223,500
Alaska	1,927
Arizona	63,170
Arkansas	44,990
California	228,800
Colorado	42,940
Connecticut	12,640
Delaware	14,180
District of Columbia	168
Florida	24,160
Georgia	227,300
Hawaii	D
Idaho	11,890
Illinois	166,200
Indiana	121,800
Iowa	87,650
Kansas	44,220
Kentucky	76,420
Louisiana	24,540
Maine	22,390
Maryland	12,830
Massachusetts	30,390
Michigan	365,000
Minnesota	80,780
Mississippi	52,230
Missouri	139,300
Montana	4,603
Nebraska	45,280
Nevada	15,630
New Hampshire	15,560
New Jersey	35,370
New Mexico	3,455
New York	130,700
North Carolina	121,200
North Dakota	7,157
Ohio	336,400
Oklahoma	20,350
Oregon	61,830
Pennsylvania	135,300
Rhode Island	1,444
South Carolina	92,070
South Dakota	8,753
Tennessee	225,100
Texas	207,600
Utah	40,020
Vermont	3,025
Virginia	25,170
Washington	34,320
West Virginia	16,800
Wisconsin	195,900
Wyoming	D
